fecha,turbina_vapor,turbina_gas,geotermica,solar,eolica,plantas_hidraulicas,motores_reciprocantes,importaciones_sin,exportaciones_sin,demanda_maxima_sni,subtotal_generacion_sni
15/06/2021,12035.7475,60.0,722.91,409.8025,58.612500000000004,18466.7225,374.7375,4832.75,-4443.1,1699.7225,32128.532499999998
17/06/2021,13799.105,10.0,724.59,646.2325,68.6975,15768.365,440.12,4285.23,-2454.3725,1715.1425000000002,31457.11
19/06/2021,13687.87,0.0,705.265,465.96750000000003,252.29749999999999,15542.022500000001,43.555,4131.0,-3811.6725,1596.9675,30696.9775
23/06/2021,15182.6575,0.0,384.175,195.465,85.05,16190.3675,1583.8,3216.75,-3326.1025,1732.2549999999999,33621.515
20/06/2021,13452.27,0.0,713.48,475.225,139.995,13553.77,37.3,3524.28,-3251.7275,1556.9375,28372.04
18/06/2021,13368.6225,2.69,714.7025,429.3125,47.2575,18172.8775,491.71250000000003,4336.0,-3804.0924999999997,1716.0974999999999,33227.174999999996
21/06/2021,13615.755000000001,0.0,383.425,588.26,93.0825,16068.7225,1677.1825000000001,3931.0,-3630.225,1740.9750000000001,32426.4275
22/06/2021,14647.1975,0.0,376.15,551.545,85.8625,17025.105,68.4575,4412.0,-3628.035,1743.3825,32754.3175
24/06/2021,13558.92,0.0,482.34,628.235,542.0275,18152.1575,406.185,2371.75,-3127.9925000000003,1701.865,33769.865
29/06/2021,10547.48,0.0,758.87,442.945,29.335,20294.3775,291.4725,2725.25,-2777.1775,1682.6100000000001,32364.48
30/06/2021,9500.4775,0.0,758.6525,530.3525,37.9225,20216.1225,251.4875,3032.8,-2419.555,1678.1225,31295.015000000003
27/06/2021,11113.9125,9.375,755.57,515.955,62.084999999999994,16481.595,404.795,0.0,-1932.2525,1492.135,29343.287500000002
25/06/2021,14420.775,0.0,733.6225000000001,553.975,154.915,17595.4525,227.8,2921.75,-3717.875,1691.485,33686.54
26/06/2021,13117.8475,0.0,761.625,350.3475,16.3425,18010.392499999998,288.42,562.12,-2641.5275,1598.9775,32544.975
28/06/2021,12470.310000000001,17.5,758.2475,521.495,60.8925,16673.3,580.6425,586.4250000000001,-2506.4125,1569.2325,31082.3875
07/06/2021,16363.245,57.55,690.1025,660.2225,168.6325,12974.4175,2097.085,4432.0,-3965.575,1735.1825000000001,33011.255
01/07/2021,8561.4425,0.0,750.375,503.94,95.27250000000001,22672.6875,25.5,2800.5,-3054.58,1705.02,32609.2175
06/07/2021,9258.02,53.300000000000004,752.21,723.7675,76.72,19560.4725,621.15,4089.5,-2352.305,1725.7,31045.64
